N,Triton,Torch
1024.000000,156.566201,125.387759
1536.000000,181.596056,119.688316
2048.000000,192.752947,117.870503
2560.000000,198.193546,116.813028
3072.000000,205.370475,117.214623
3584.000000,208.271186,118.316368
4096.000000,209.603415,123.497486
4608.000000,214.741739,120.865576
5120.000000,216.719573,123.621730
5632.000000,219.072939,122.880001
6144.000000,219.755593,127.117243
6656.000000,220.640889,118.416602
7168.000000,221.405411,125.296433
7680.000000,222.072296,122.553188
8192.000000,221.905193,131.686541
8704.000000,227.307940,120.679374
9216.000000,228.024744,125.744172
9728.000000,228.669937,123.139240
10240.000000,229.040070,128.737560
10752.000000,229.376010,120.218027
11264.000000,229.487265,123.950477
11776.000000,229.775600,122.666662
12288.000000,230.220145,123.652830
12800.000000,229.768129,119.719409
13312.000000,230.178678,117.979325
13824.000000,230.240106,120.470588
14336.000000,230.915428,121.491529
14848.000000,230.499351,118.468082
15360.000000,230.832804,117.494824
15872.000000,202.298458,116.992625
